catalog_id,recipe_name,style,image_path,total_calories,total_mass,total_fat,total_carb,total_protein
catalog_0,Steak Frites with Rosemary Duck Fat Fries,french,data/catalog/images/catalog_0/rgb.png,257.09800000029276,47.36853893826162,38.928676923082776,2.8540066666915527,3.266600000024265
catalog_1,Basil Noodles Recipe 5,asian,data/catalog/images/catalog_1/rgb.png,204.49125,77.11672798824999,4.833634615384616,11.993700000000002,13.956
catalog_2,Slow Cooker Breakfast Casserole recipes,italian,data/catalog/images/catalog_2/rgb.png,1040.5811789722222,633.804434861111,116.06430543463678,12.91349839847685,101.29376932736112
catalog_3,Recipe: Carla Hall’s Salmon Patties,nordic,data/catalog/images/catalog_3/rgb.png,212.36129916434166,88.54520423289769,23.34711138994122,0.7155420750130679,31.63712843313645
catalog_4,Classic Slaw recipes,american,data/catalog/images/catalog_4/rgb.png,474.358941419993,292.82037635204927,67.9796591642094,6.11139939350597,7.919830149999885
catalog_5,Cucumber Dill Salsa Cruda,mexican,data/catalog/images/catalog_5/rgb.png,45.5056875,195.35096246842784,0.699569230769231,3.867932916666667,3.8176925
catalog_6,Quick Lemon Balsamic Basil Chicken Pasta recipes,italian,data/catalog/images/catalog_6/rgb.png,226.2220000001815,143.0154513890597,5.612410256410258,9.97127222223862,35.88305750000035
catalog_7,Lime and Cilantro Cauliflower with Avocado,american,data/catalog/images/catalog_7/rgb.png,207.96400000000003,215.35416666666666,20.973369230769233,3.872464583333333,25.389
catalog_8,Chicken Ham & Swiss Waffles (low carb) recipes,french,data/catalog/images/catalog_8/rgb.png,123.98596073125,49.57956828125,13.931296359615384,0.277684651203125,18.978635419375
catalog_9,Cloud Eggs on Toast,american,data/catalog/images/catalog_9/rgb.png,181.86978515781774,86.669921875389,13.265821514622376,4.797825455733536,22.31882421892817
catalog_10,Kicked-Up Western Mac,american,data/catalog/images/catalog_10/rgb.png,597.9324913820313,228.184221484375,44.93056365399039,18.489050738635413,58.04354643535939
catalog_11,Chipped Beef Log Recipe,american,data/catalog/images/catalog_11/rgb.png,168.10155908203126,56.6915616015625,24.53143947995794,0.9614144992239585,8.842939466250002
catalog_12,Tony's Stuffed Mushrooms,french,data/catalog/images/catalog_12/rgb.png,500.794326003125,297.6699928125,70.1279972810577,3.1004928457708325,34.9946513455
catalog_13,Arugula Salad with Bacon and Butternut Squash,american,data/catalog/images/catalog_13/rgb.png,243.2306160509601,171.8870231251426,29.39928366072704,2.520345833339562,24.34554855628908
catalog_14,Green Bean and Butternut Casserole,south east asian,data/catalog/images/catalog_14/rgb.png,156.74889745001053,136.06296444444772,16.408888698034477,4.58809413550076,9.13110484588958
catalog_15,Green Beans With Sesame,chinese,data/catalog/images/catalog_15/rgb.png,85.068408675,128.14809250000002,7.356270466923077,3.1170823490833324,7.0457701855
catalog_16,Grilled Peppers and Zucchini Recipe 3,mediterranean,data/catalog/images/catalog_16/rgb.png,57.203,163.70000000000002,5.1501230769230775,2.1183,3.96412
catalog_17,White Asparagus Soup,central europe,data/catalog/images/catalog_17/rgb.png,428.8510789990383,174.6236167347805,57.877400216406265,6.95561521971059,9.352127379945582
catalog_18,Stir Fried Broccoli Recipe,chinese,data/catalog/images/catalog_18/rgb.png,169.3035,313.55,12.49969230769231,7.078533333333335,17.1456
catalog_19,South African “Slap” Chips (French Fries),french,data/catalog/images/catalog_19/rgb.png,787.3990336809975,487.192508680939,98.06586677358118,14.80278518518518,10.484097777777777
catalog_20,Black Eyed Pea and Leek Salad,south american,data/catalog/images/catalog_20/rgb.png,400.1957167484375,448.146825052114,27.048087958774026,14.945849124583335,37.6229446399375
catalog_21,Easy Avocado Taco Salad,mexican,data/catalog/images/catalog_21/rgb.png,871.294033021875,715.9247615625,91.5912412438942,13.823561806458335,100.8830762444375
catalog_22,Sticks' Egg White and Salsa Eggs,mexican,data/catalog/images/catalog_22/rgb.png,177.47,447.5,1.204769230769231,4.43465,58.2372
catalog_23,Tracie's Couscous Salad,middle eastern,data/catalog/images/catalog_23/rgb.png,383.2764325000001,278.5672789841323,21.7874153076923,17.94876555555555,25.329171000000002
catalog_24,Maple Kale Crisps Recipe,american,data/catalog/images/catalog_24/rgb.png,48.94833333333333,42.62295303264605,4.235615384615385,1.982455555555555,1.9617333333333333
catalog_25,Shrimp Scampi Sweet Potato Noodles with Kale and Walnuts,asian,data/catalog/images/catalog_25/rgb.png,240.2867119583333,226.675177489876,11.103174777051285,6.4876499999999995,52.20576651833333
catalog_26,Fusilli with Blue Cheese and Toasted Walnuts,american,data/catalog/images/catalog_26/rgb.png,794.3058513227105,281.6901718693215,47.71357710171665,33.29494334780575,60.694741063207374
