split,dish_id,image_path,total_calories,total_mass,total_fat,total_carb,total_protein
train,dish_1558641037,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1558641037/rgb.png,60.839996337890625,117.0,0.23399999737739563,16.3799991607666,0.35100001096725464
train,dish_1562958721,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1562958721/rgb.png,125.7248306274414,167.0,3.698546886444092,21.36392593383789,2.1617441177368164
train,dish_1565799617,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1565799617/rgb.png,294.2217102050781,520.0,2.8494389057159424,29.379562377929688,33.367977142333984
train,dish_1561491210,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1561491210/rgb.png,251.09747314453125,276.0,18.868791580200195,23.3143367767334,22.313339233398438
train,dish_1561661806,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1561661806/rgb.png,183.4759521484375,89.0,8.400409698486328,9.825472831726074,16.235809326171875
train,dish_1562873264,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1562873264/rgb.png,503.6002197265625,595.0,35.51457214355469,66.93379211425781,33.33362579345703
train,dish_1558373449,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1558373449/rgb.png,416.23199462890625,72.0,35.63999938964844,16.3439998626709,16.128000259399414
train,dish_1561480414,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1561480414/rgb.png,125.16199493408203,129.0,4.835000038146973,16.31599998474121,5.447000026702881
train,dish_1563465805,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1563465805/rgb.png,32.43000030517578,23.0,1.5640000104904175,4.139999866485596,0.4830000102519989
train,dish_1564589308,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1564589308/rgb.png,227.00999450683594,161.0,10.94800090789795,28.98000144958496,3.38100004196167
train,dish_1560442226,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1560442226/rgb.png,83.79000091552734,147.0,0.4410000145435333,20.579999923706055,1.0290000438690186
train,dish_1566333255,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1566333255/rgb.png,515.5452270507812,372.0,20.582202911376953,43.079132080078125,39.08174133300781
train,dish_1561134102,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1561134102/rgb.png,24.30000114440918,81.0,0.16200000047683716,6.156000137329102,0.4860000014305115
train,dish_1562602918,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1562602918/rgb.png,265.62225341796875,417.0,5.792154788970947,34.74925231933594,19.446212768554688
train,dish_1563898786,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1563898786/rgb.png,420.928466796875,344.0,31.470230102539062,11.42750358581543,23.636035919189453
train,dish_1562615103,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1562615103/rgb.png,94.28854370117188,110.0,6.186011791229248,8.58028507232666,1.9628349542617798
train,dish_1565711115,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1565711115/rgb.png,321.5299987792969,308.0,14.40999984741211,2.38700008392334,39.709999084472656
train,dish_1558031526,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1558031526/rgb.png,76.94200134277344,62.0,0.12399999797344208,18.22800064086914,0.9919999837875366
train,dish_1563475788,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1563475788/rgb.png,39.0,78.0,0.07800000160932541,10.139999389648438,0.38999998569488525
train,dish_1558725085,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1558725085/rgb.png,54.36000061035156,151.0,0.1509999930858612,13.59000015258789,0.7549999952316284
train,dish_1562168365,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1562168365/rgb.png,70.0,140.0,0.14000000059604645,18.19999885559082,0.699999988079071
train,dish_1562945779,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1562945779/rgb.png,37.69532012939453,29.0,2.0206449031829834,4.463192939758301,0.9279999732971191
train,dish_1565194906,data/nutrition5k_dataset/imagery/realsense_overhead/dish_1565194906/rgb.png,451.79547119140625,839.0,5.2037200927734375,56.64761734008789,42.0001220703125
